Symbol,Name,Last,MarketCap,Sector,Industry
ALCO,"Alico, Inc.",36.01,2.6918E8,Consumer Non-Durables,Farming/Seeds/Milling
ALDX,"Aldeyra Therapeutics, Inc.",5.96,1.666E8,Health Care,Major Pharmaceuticals
ALEC,"Alector, Inc.",16.575,1.14E9,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALGN,"Align Technology, Inc.",283.68,2.236E10,Health Care,Industrial Specialties
ALGR,Allegro Merger Corp.,10.24,1.9517E8,Finance,Business Services
ALGT,Allegiant Travel Company,176.05,2.87E9,Transportation,Air Freight/Delivery Services
ALIM,"Alimera Sciences, Inc.",8.16,4.05E7,Health Care,Major Pharmaceuticals
ALJJ,"ALJ Regional Holdings, Inc.",1.3219,5.542E7,Miscellaneous,Business Services
ALKS,Alkermes plc,19.76,3.11E9,Health Care,Major Pharmaceuticals
ALLK,Allakos Inc.,93.29,4.54E9,Health Care,Major Pharmaceuticals
ALLO,"Allogene Therapeutics, Inc.",26.22,3.2E9,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALLT,Allot Ltd.,9.06,3.1123E8,Technology,Computer Communications Equipment
ALNA,"Allena Pharmaceuticals, Inc.",2.89,6.782E7,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALNY,"Alnylam Pharmaceuticals, Inc.",115.62,1.289E10,Health Care,Major Pharmaceuticals
ALOT,"AstroNova, Inc.",13.7,9.685E7,Technology,Computer peripheral equipment
ALPN,"Alpine Immune Sciences, Inc.",3.6233,6.735E7,Health Care,Major Pharmaceuticals
ALRM,"Alarm.com Holdings, Inc.",42.99,2.0899999999999998E9,Technology,Computer Software: Prepackaged Software
ALRN,"Aileron Therapeutics, Inc.",0.5951,1.655E7,Health Care,Major Pharmaceuticals
ALRS,Alerus Financial Corporation,22.5,3.8361E8,Finance,Major Banks
ALSK,"Alaska Communications Systems Group, Inc.",1.8,9.542E7,Public Utilities,Telecommunications Equipment
ALT,"Altimmune, Inc.",1.9213,2.947E7,Health Care,Major Pharmaceuticals
ALTM,Altus Midstream Company,2.74,8.9031E8,Public Utilities,Natural Gas Distribution
ALTR,Altair Engineering Inc.,36.86,2.65E9,Technology,Computer Software: Prepackaged Software
ALXN,"Alexion Pharmaceuticals, Inc.",107.84,2.386E10,Health Care,Major Pharmaceuticals
ALYA,Alithya Group inc.,2.86,1.4014E8,Technology,"Computer Software: Programming, Data Processing"
AMAG,"AMAG Pharmaceuticals, Inc.",12.27,4.1615E8,Health Care,Major Pharmaceuticals
AMAL,Amalgamated Bank,19.25,6.0667E8,Consumer Non-Durables,Textiles
AMAT,"Applied Materials, Inc.",62.2,5.693E10,Technology,Semiconductors
AMBA,"Ambarella, Inc.",62.76,2.1099999999999998E9,Technology,Semiconductors
AMBC,"Ambac Financial Group, Inc.",21.76,9.9125E8,Finance,Property-Casualty Insurers
AMCI,AMCI Acquisition Corp.,10.13,2.7923E8,Finance,Business Services
AMCX,AMC Networks Inc.,39.15,2.18E9,Consumer Services,Television Services
AMD,"Advanced Micro Devices, Inc.",49.1,5.73E10,Technology,Semiconductors
AMED,Amedisys Inc,166.12,5.36E9,Health Care,Medical/Nursing Services
AMEH,"Apollo Medical Holdings, Inc.",18.22,6.3574E8,Consumer Services,Professional Services
AMGN,Amgen Inc.,240.1,1.4266E11,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMKR,"Amkor Technology, Inc.",13.26,3.18E9,Technology,Semiconductors
AMNB,"American National Bankshares, Inc.",39.4,4.3787E8,Finance,Major Banks
AMOT,"Allied Motion Technologies, Inc.",47.51,4.5609E8,Capital Goods,Electrical Products
AMOV,"America Movil, S.A.B. de C.V.",16.08,5.307E10,Public Utilities,Telecommunications Equipment
AMPH,"Amphastar Pharmaceuticals, Inc.",19.35,9.0825E8,Health Care,Major Pharmaceuticals
AMRB,American River Bankshares,15.22,8.98E7,Finance,Major Banks
AMRH,"Ameri Holdings, Inc.",2.41,6060000.0,Technology,Semiconductors
AMRK,"A-Mark Precious Metals, Inc.",8.1922,5.76E7,Basic Industries,Other Specialty Stores
AMRN,Amarin Corporation plc,21.53,7.73E9,Health Care,Major Pharmaceuticals
AMRS,"Amyris, Inc.",3.07,3.2389E8,Basic Industries,Major Chemicals
AMSC,American Superconductor Corporation,7.89,1.7173E8,Consumer Durables,Metal Fabrications
AMSF,"AMERISAFE, Inc.",66.24,1.28E9,Finance,Property-Casualty Insurers
AMSWA,"American Software, Inc.",15.1,4.825E8,Technology,Computer Software: Prepackaged Software
AMTB,Amerant Bancorp Inc.,21.6,9.3327E8,Finance,Major Banks
AMTBB,Amerant Bancorp Inc.,16.5,7.1292E8,Finance,Major Banks
AMTD,TD Ameritrade Holding Corporation,50.51,2.73E10,Finance,Investment Bankers/Brokers/Service
AMTX,"Aemetis, Inc",0.9006,1.853E7,Basic Industries,Major Chemicals
AMWD,American Woodmark Corporation,104.65,1.77E9,Basic Industries,Forest Products
AMZN,"Amazon.com, Inc.",1898.01,9.4103E11,Consumer Services,Catalog/Specialty Distribution
ANAB,"AnaptysBio, Inc.",15.89,4.3115E8,Health Care,Major Pharmaceuticals
ANAT,American National Insurance Company,117.49,3.16E9,Finance,Life Insurance
ANCN,Anchiano Therapeutics Ltd.,1.5573,1.155E7,Health Care,Major Pharmaceuticals
ANDA,Andina Acquisition Corp. III,10.15,1.4103E8,Finance,Business Services
ANDE,"The Andersons, Inc.",25.0,8.15E8,Consumer Services,Farming/Seeds/Milling
ANGI,ANGI Homeservices Inc.,8.87,4.46E9,Consumer Services,Advertising
ANGO,"AngioDynamics, Inc.",16.02,6.0267E8,Health Care,Medical/Dental Instruments
ANIK,Anika Therapeutics Inc.,52.4,7.4771E8,Health Care,Medical/Dental Instruments
ANIP,"ANI Pharmaceuticals, Inc.",60.07,7.2631E8,Health Care,Major Pharmaceuticals
ANIX,"Anixa Biosciences, Inc.",3.0,6.062E7,Health Care,Medical Specialities
ANSS,"ANSYS, Inc.",259.59,2.219E10,Technology,Computer Software: Prepackaged Software
ANTE,AirNet Technology Inc.,1.0053,1.263E7,Technology,Advertising
ANY,Sphere 3D Corp.,0.8154,3060000.0,Technology,EDP Services
AOBC,American Outdoor Brands Corporation,9.17,5.0491E8,Capital Goods,Ordnance And Accessories
AOSL,Alpha and Omega Semiconductor Limited,13.68,3.3588E8,Technology,Semiconductors
APDN,"Applied DNA Sciences, Inc.",4.43,1.544E7,Consumer Services,Other Consumer Services
APEI,"American Public Education, Inc.",27.46,4.2284E8,Consumer Services,Other Consumer Services
APEN,"Apollo Endosurgery, Inc.",2.92,6.116E7,Health Care,Medical/Dental Instruments
APEX,Apex Global Brands Inc.,1.0,5520000.0,Consumer Non-Durables,Apparel
APLS,"Apellis Pharmaceuticals, Inc.",31.165,1.99E9,Health Care,Major Pharmaceuticals
APLT,"Applied Therapeutics, Inc.",28.77,5.3265999999999994E8,Health Care,Major Pharmaceuticals
APM,Aptorum Group Limited,13.66,3.9662E8,Health Care,Major Pharmaceuticals
APOG,"Apogee Enterprises, Inc.",32.68,8.678E8,Capital Goods,Auto Parts:O.E.M.
APOP,Cellect Biotechnology Ltd.,2.39,1070000.0,Health Care,Medical/Dental Instruments
APPF,"AppFolio, Inc.",113.49,3.87E9,Technology,Computer Software: Prepackaged Software
APPN,Appian Corporation,38.78,2.6E9,Technology,Computer Software: Prepackaged Software
APPS,"Digital Turbine, Inc.",7.31,6.2731E8,Miscellaneous,Multi-Sector Companies
APRE,"Aprea Therapeutics, Inc.",45.3,9.5087E8,Health Care,Major Pharmaceuticals
APTO,"Aptose Biosciences, Inc.",5.53,3.0662E8,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
APTX,Aptinyx Inc.,3.68,1.2394E8,Health Care,Major Pharmaceuticals
APVO,Aptevo Therapeutics Inc.,0.6428,2.911E7,Health Care,Major Pharmaceuticals
APWC,Asia Pacific Wire & Cable Corporation Limited,1.4055,1.942E7,Basic Industries,Telecommunications Equipment
APXT,Apex Technology Acquisition Corporation,9.87,4.3981E8,Finance,Business Services
APYX,Apyx Medical Corporation,8.51,2.9077E8,Health Care,Medical/Dental Instruments
AQMS,"Aqua Metals, Inc.",0.7361,4.224E7,Basic Industries,Metal Fabrications
AQST,"Aquestive Therapeutics, Inc.",6.03,1.5101E8,Health Care,Major Pharmaceuticals
ARAV,"Aravive, Inc.",13.39,2.0018E8,Health Care,Major Pharmaceuticals
ARAY,Accuray Incorporated,2.76,2.4571E8,Health Care,Medical/Dental Instruments
ARCB,ArcBest Corporation,27.9,7.1164E8,Transportation,Trucking Freight/Courier Services
ARCE,Arco Platform Limited,44.25,2.43E9,Consumer Services,Other Consumer Services
ARCT,Arcturus Therapeutics Holdings Inc.,10.0,1.5138E8,Health Care,Major Pharmaceuticals
ARDS,Aridis Pharmaceuticals Inc.,4.55,4.055E7,Health Care,Major Pharmaceuticals
ARDX,"Ardelyx, Inc.",7.35,4.8368E8,Health Care,Major Pharmaceuticals
AREC,American Resources Corporation,0.66,1.804E7,Consumer Services,Other Consumer Services
ARGX,argenx SE,160.46,6.86E9,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARKR,Ark Restaurants Corp.,22.03,7.708E7,Consumer Services,Restaurants
ARLP,"Alliance Resource Partners, L.P.",11.56,1.48E9,Energy,Coal Mining
ARNA,"Arena Pharmaceuticals, Inc.",46.24,2.32E9,Health Care,Major Pharmaceuticals
AROW,Arrow Financial Corporation,37.61,5.6327E8,Finance,Major Banks
ARPO,"Aerpio Pharmaceuticals, Inc.",0.6401,2.598E7,Health Care,Major Pharmaceuticals
ARQL,"ArQule, Inc.",19.98,2.41E9,Health Care,Major Pharmaceuticals
ARTL,"Artelo Biosciences, Inc.",2.7672,9480000.0,Miscellaneous,Business Services
ARTNA,Artesian Resources Corporation,36.78,3.4151E8,Public Utilities,Water Supply
ARTW,"Art&#39;s-Way Manufacturing Co., Inc.",1.801,7740000.0,Capital Goods,Industrial Machinery/Components
ARVN,"Arvinas, Inc.",41.44,1.62E9,Health Care,Major Pharmaceuticals
ARWR,"Arrowhead Pharmaceuticals, Inc.",63.12,6.33E9,Health Care,Major Pharmaceuticals
ARYA,ARYA Sciences Acquisition Corp.,10.4,1.8688E8,Finance,Business Services
ASFI,"Asta Funding, Inc.",10.25,6.733E7,Finance,Finance Companies
ASLN,ASLAN Pharmaceuticals Limited,2.02,7.674E7,Health Care,Major Pharmaceuticals
ASMB,"Assembly Biosciences, Inc.",19.9,6.4346E8,Health Care,Major Pharmaceuticals
ASML,ASML Holding N.V.,302.83,1.2753E11,Technology,Industrial Machinery/Components
ASNA,"Ascena Retail Group, Inc.",7.46,7.439E7,Consumer Services,Clothing/Shoe/Accessory Stores
ASND,Ascendis Pharma A/S,141.13,6.74E9,Health Care,Major Pharmaceuticals
ASPS,Altisource Portfolio Solutions S.A.,19.51,3.0609E8,Consumer Services,Other Consumer Services
ASPU,Aspen Group Inc.,8.32,1.5947E8,Consumer Services,Other Consumer Services
ASRT,"Assertio Therapeutics, Inc.",1.19,9.601E7,Health Care,Major Pharmaceuticals
ASRV,AmeriServ Financial Inc.,4.24,7.267E7,Finance,Major Banks
ASRVP,AmeriServ Financial Inc.,28.4292,597013.2,Finance,Major Banks
ASTC,Astrotech Corporation,1.89,1.118E7,Capital Goods,Biotechnology: Laboratory Analytical Instruments
ASTE,"Astec Industries, Inc.",42.26,9.5281E8,Capital Goods,Construction/Ag Equipment/Trucks
ASUR,Asure Software Inc,8.28,1.2908000000000001E8,Technology,EDP Services
ASYS,"Amtech Systems, Inc.",7.26,1.0359E8,Technology,Industrial Machinery/Components
ATAX,"America First Multifamily Investors, L.P.",7.64,4.6478E8,Finance,Finance: Consumer Services
ATEC,"Alphatec Holdings, Inc.",6.97,4.2769E8,Health Care,Medical/Dental Instruments
ATEX,Anterix Inc.,42.76,7.3232E8,Public Utilities,Telecommunications Equipment
ATHE,Alterity Therapeutics Limited,0.77,1.115E7,Health Care,Major Pharmaceuticals
ATHX,"Athersys, Inc.",1.24,1.9427E8,Health Care,Major Pharmaceuticals
ATIF,ATIF Holdings Limited,1.93,7.155E7,Consumer Services,Professional Services
ATLC,Atlanticus Holdings Corporation,9.14,1.4505E8,Finance,Finance: Consumer Services
ATLO,Ames National Corporation,27.79,2.563E8,Finance,Major Banks
ATNI,"ATN International, Inc.",56.4,9.023E8,Public Utilities,Telecommunications Equipment
ATNX,"Athenex, Inc.",15.8,1.22E9,Health Care,Major Pharmaceuticals
ATOM,Atomera Incorporated,3.16,5.409E7,Technology,Semiconductors
ATOS,Atossa Genetics Inc.,1.59,1.452E7,Health Care,Major Pharmaceuticals
ATRA,"Atara Biotherapeutics, Inc.",16.41,8.8861E8,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATRC,"AtriCure, Inc.",33.07,1.31E9,Health Care,Medical/Dental Instruments
ATRI,Atrion Corporation,739.0,1.37E9,Health Care,Medical/Dental Instruments
ATRO,Astronics Corporation,27.96,8.6321E8,Capital Goods,Military/Government/Technical
ATRS,"Antares Pharma, Inc.",4.26,6.9534E8,Health Care,Medical/Dental Instruments
ATSG,"Air Transport Services Group, Inc",23.46,1.39E9,Transportation,Air Freight/Delivery Services
ATVI,"Activision Blizzard, Inc",58.65,4.506E10,Technology,Computer Software: Prepackaged Software
ATXI,"Avenue Therapeutics, Inc.",8.9,1.4829E8,Health Care,Major Pharmaceuticals
AUB,Atlantic Union Bankshares Corporation,37.68,3.04E9,Finance,Major Banks
AUBN,"Auburn National Bancorporation, Inc.",52.77,1.8819E8,Finance,Major Banks
AUDC,AudioCodes Ltd.,26.33,7.6819E8,Public Utilities,Telecommunications Equipment
AUPH,Aurinia Pharmaceuticals Inc,21.46,2.3E9,Health Care,Major Pharmaceuticals
AUTL,Autolus Therapeutics plc,12.96,5.8297E8,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AUTO,"AutoWeb, Inc.",2.44,3.208E7,Technology,"Computer Software: Programming, Data Processing"
AVAV,"AeroVironment, Inc.",62.97,1.51E9,Capital Goods,Aerospace
AVCO,Avalon GloboCare Corp.,2.0,1.5154E8,Consumer Services,Professional Services
AVDL,Avadel Pharmaceuticals plc,7.41,2.7751E8,Health Care,Major Pharmaceuticals
AVEO,"AVEO Pharmaceuticals, Inc.",0.6323,1.0164E8,Health Care,Major Pharmaceuticals
AVGO,Broadcom Inc.,322.39,1.2824000000000002E11,Technology,Semiconductors
AVGR,"Avinger, Inc.",1.19,1.232E7,Health Care,Medical/Dental Instruments
AVID,"Avid Technology, Inc.",8.37,3.6032E8,Technology,Computer Software: Prepackaged Software
AVNW,"Aviat Networks, Inc.",14.29,7.755E7,Technology,Radio And Television Broadcasting And Communications Equipment
AVRO,"AVROBIO, Inc.",20.61,6.5268E8,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVT,"Avnet, Inc.",42.72,4.31E9,Technology,Electronic Components
AVXL,Anavex Life Sciences Corp.,2.87,1.6107E8,Health Care,Biotechnology: Commercial Physical & Biological Resarch
AWRE,"Aware, Inc.",3.395,7.296E7,Technology,Computer Software: Prepackaged Software
AXAS,Abraxas Petroleum Corporation,0.3491,5.879E7,Energy,Oil & Gas Production
AXDX,"Accelerate Diagnostics, Inc.",17.02,9.3006E8,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AXGN,"AxoGen, Inc.",17.34,6.8438E8,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AXGT,Axovant Gene Therapies Ltd.,4.95,1.1282E8,Health Care,Major Pharmaceuticals
AXLA,Axcella Health Inc.,4.12,9.523E7,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AXNX,"Axonics Modulation Technologies, Inc.",27.52,9.3424E8,Health Care,Medical/Dental Instruments
AXSM,"Axsome Therapeutics, Inc.",101.31,3.73E9,Health Care,Major Pharmaceuticals
AXTI,AXT Inc,4.43,1.7817E8,Technology,Semiconductors
AY,Atlantica Yield plc,26.29,2.67E9,Public Utilities,Electric Utilities: Central
AYTU,"Aytu BioScience, Inc.",1.04,2.156E7,Health Care,Major Pharmaceuticals
AZPN,"Aspen Technology, Inc.",124.94,8.52E9,Technology,EDP Services
AZRX,"AzurRx BioPharma, Inc.",1.03,2.744E7,Health Care,Major Pharmaceuticals
BAND,Bandwidth Inc.,64.22,1.51E9,Technology,Computer Software: Prepackaged Software
BANF,BancFirst Corporation,62.43,2.04E9,Finance,Major Banks
BANFP,BancFirst Corporation,27.35,2.735E7,Finance,Major Banks
BANR,Banner Corporation,56.75,2.0299999999999998E9,Finance,Major Banks
BASI,"Bioanalytical Systems, Inc.",5.2,5.466E7,Health Care,Biotechnology: Commercial Physical & Biological Resarch
BATRA,Liberty Media Corporation,29.57,1.51E9,Consumer Services,Broadcasting
BATRK,Liberty Media Corporation,29.47,1.5E9,Consumer Services,Broadcasting
BBBY,Bed Bath & Beyond Inc.,16.33,2.0699999999999998E9,Consumer Services,Home Furnishings
BBCP,"Concrete Pumping Holdings, Inc. ",5.49,3.1952E8,Basic Industries,Engineering & Construction
BBGI,"Beasley Broadcast Group, Inc.",3.14,8.753E7,Consumer Services,Broadcasting
BBI,"Brickell Biotech, Inc.",1.4456,1.129E7,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BBIO,"BridgeBio Pharma, Inc.",33.22,4.1100000000000005E9,Health Care,Major Pharmaceuticals
BBQ,"BBQ Holdings, Inc. ",4.18,3.876E7,Consumer Services,Restaurants
BBSI,"Barrett Business Services, Inc.",90.64,6.7928E8,Technology,Professional Services
BCBP,"BCB Bancorp, Inc. (NJ)",13.73,2.2625E8,Finance,Savings Institutions
BCDA,"BioCardia, Inc.",3.9038,2.664E7,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BCEL,"Atreca, Inc.",14.24,3.9816E8,Health Care,Major Pharmaceuticals
BCLI,Brainstorm Cell Therapeutics Inc.,4.12,9.314E7,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BCML,BayCom Corp,22.6,2.9239E8,Finance,Major Banks
BCOM,B Communications Ltd.,1.7799,2.0703E8,Consumer Services,Telecommunications Equipment
BCOR,"Blucora, Inc.",26.0,1.27E9,Finance,Finance: Consumer Services
BCOV,Brightcove Inc.,8.73,3.3873E8,Technology,EDP Services
BCOW,"1895 Bancorp of Wisconsin, Inc.",10.82,5.277E7,Finance,Banks
BCPC,Balchem Corporation,102.61,3.3E9,Basic Industries,Major Chemicals
BCRX,"BioCryst Pharmaceuticals, Inc.",3.4,5.2379999999999994E8,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
